OTTAWA KS 148                 ,1545 SOUTH MAIN               ,OTTAWA              ,KS,66067-3802,38.6356,-95.2677
BARTLESVILLE OK 149           ,1415 SW FRANK PHILLIPS BL     ,BARTLESVILLE        ,OK,74003-3210,36.7283,-96.0676
KANSAS CITY MO 150            ,601 EAST LINWOOD BLVD         ,KANSAS CITY         ,MO,64109-1719,39.0685529,-94.5774691
BOONVILLE MO 151              ,112 WEST ASHLEY ROAD          ,BOONVILLE           ,MO,65233-1172,38.96711754,-92.74763208
TOPEKA KS 152                 ,1701 SOUTH KANSAS AVENUE      ,TOPEKA              ,KS,66612-1433,39.0365104,-95.6794921
SAPULPA OK 153                ,419 SOUTH MAIN                ,SAPULPA             ,OK,74066-4111,35.9652,-96.1139
INDEPENDENCE KS 154           ,224 WEST MAIN                 ,INDEPENDENCE        ,KS,67301-3513,37.01332041,-95.9351
TULSA OK 155                  ,6707 EAST ADMIRAL PLACE       ,TULSA               ,OK,74115-8705,36.1609,-95.90238462
BROKEN ARROW OK 156           ,501 SOUTH ELM PLACE           ,BROKEN ARROW        ,OK,74012-5326,36.0486,-95.7975
TULSA OK 157                  ,1116 SOUTH GARNETT            ,TULSA               ,OK,74128-1822,36.0211,-95.8513
SALLISAW OK 158               ,812 EAST CHEROKEE             ,SALLISAW            ,OK,74955-4848,35.5812,-94.8139
WAGONER OK 159                ,510 WEST CHEROKEE             ,WAGONER             ,OK,74467-4610,35.9593,-95.37207755
PRYOR OK 160                  ,301 SOUTH MILL STREET         ,PRYOR               ,OK,74361-5217,36.30235149,-95.32030597
TULSA OK 161                  ,4621 SOUTH PEORIA AVENUE      ,TULSA               ,OK,74105-4527,36.09691818,-95.9757
TULSA OK 162                  ,7694 EAST 46TH STREET         ,TULSA               ,OK,74145-6304,36.0976,-95.89088072
TULSA OK 163                  ,2508 EAST 11TH STREET         ,TULSA               ,OK,74104-3910,36.1486,-95.95582041
STILLWATER OK 164             ,202 NORTH PERKINS ROAD        ,STILLWATER          ,OK,74075-5500,36.12449034,-97.05168595
PERRY OK 165                  ,423 7TH STREET                ,PERRY               ,OK,73077-6407,36.28752083,-97.2884
EXCELSIOR SPRINGS MO 166      ,1805 WEST JESSE JAMES RD      ,EXCELSIOR SPRINGS   ,MO,64024-1803,39.3377638,-94.24926189
BIXBY OK 167                  ,15060 S MEMORIAL DRIVE        ,BIXBY               ,OK,74008-3706,35.94461109,-95.88679969
TULSA OK 168                  ,1456 NORTH HARVARD AVENUE     ,TULSA               ,OK,74115-4902,36.17611429,-95.9405
HENRYETTA OK 169              ,309 EAST MAIN STREET          ,HENRYETTA           ,OK,74437-4433,35.4396,-95.97940625
KANSAS CITY KS 170            ,2901 STATE AVENUE             ,KANSAS CITY         ,KS,66102-3917,39.1166,-94.661725
KANSAS CITY MO 171            ,7712 WORNALL ROAD             ,KANSAS CITY         ,MO,64114-1845,38.9880847,-94.5946573
TULSA OK 172                  ,4363 SOUTHWEST BOULEVARD      ,TULSA               ,OK,74107-6473,36.10207361,-96.02633238
PONCA CITY OK 173             ,104 WEST GRAND                ,PONCA CITY          ,OK,74601-5210,36.8753,-96.5626
ENID OK 174                   ,2506 ROCK ISLAND BLVD         ,ENID                ,OK,73701-1342,36.42168748,-97.87702933
COWETA OK 175                 ,14339 SOUTH STATE HWY 51      ,COWETA              ,OK,74429-7688,35.9691,-95.6585
WEBB CITY MO 176              ,1001 S MADISON ST             ,WEBB CITY           ,MO,64870-2544,37.13516322,-94.47504368
OKLAHOMA CITY OK 177          ,1105 WEST BRITTON ROAD        ,OKLAHOMA CITY       ,OK,73114-1709,35.5658447,-97.5319952
EDMOND OK 178                 ,3540 SOUTH BROADWAY           ,EDMOND              ,OK,73013-4105,35.4603291,-97.5141912
EDMOND OK 179                 ,4 EAST SECOND STREET          ,EDMOND              ,OK,73034-3810,35.6527891,-97.4811671
OKLAHOMA CITY OK 180          ,4200 NORTH MAY AVENUE         ,OKLAHOMA CITY       ,OK,73112-6271,35.514133,-97.5652052
OKLAHOMA CITY OK 181          ,4500 NW 39TH EXPRESSWAY       ,OKLAHOMA CITY       ,OK,73122-2503,35.5164822,-97.6609725
MIDWEST CITY OK 182           ,2719 SOUTH AIR DEPOT BLVD     ,MIDWEST CITY        ,OK,73110-5905,35.4369025,-97.4064879
OKLAHOMA CITY OK 183          ,2445 SW 29TH                  ,OKLAHOMA CITY       ,OK,73119-2003,35.4354,-97.55558776
DEL CITY OK 184               ,4501 SOUTH SUNNYLANE          ,OKLAHOMA CITY       ,OK,73135-2105,35.3577249,-97.4523859
OKLAHOMA CITY OK 185          ,2400 NORTH WESTERN            ,OKLAHOMA CITY       ,OK,73106-5627,35.6346424,-97.5361527
KANSAS CITY MO 186            ,4722 INDEPENDENCE AVENUE      ,KANSAS CITY         ,MO,64124-2930,39.1069446,-94.5728776
TAHLEQUAH OK 187              ,1325 S MUSKOGEE AVENUE        ,TAHLEQUAH           ,OK,74464-5215,35.89915616,-94.97522784
ENID OK 188                   ,802 W OWEN K GARRIOTT RD      ,ENID                ,OK,73701-5438,36.3911,-97.88772653
OKMULGEE OK 189               ,220 SOUTH WOOD DRIVE          ,OKMULGEE            ,OK,74447-4748,35.62230741,-95.9605
LAWRENCE KS 190               ,906 NORTH 2ND STREET          ,LAWRENCE            ,KS,66044-1412,38.9862612,-95.2335666
TOPEKA KS 191                 ,1726 NW TOPEKA BOULEVARD      ,TOPEKA              ,KS,66608-1823,39.0606278,-95.6761701
MUSKOGEE OK 192               ,1907 NORTH MAIN STREET        ,MUSKOGEE            ,OK,74401-4130,35.76994884,-95.3584
OKLAHOMA CITY OK 193          ,5519 SOUTH WESTERN            ,OKLAHOMA CITY       ,OK,73109-4510,35.3424337,-97.5343423
CLAREMORE OK 194              ,402 S LYNN RIGGS BLVD         ,CLAREMORE           ,OK,74017-7812,36.30910127,-95.61817924
TOPEKA KS 195                 ,4710 SW TOPEKA BOULEVARD      ,TOPEKA              ,KS,66609-1133,38.9817913,-95.6869883
