"Store Nbr","Mod Footage","Store Name","Store Type","Building Address","Building City","Building State/Prov","Building Postal Code"
"461","12","EAGLE PASS TX","Supercenter","496 S BIBB AVE","EAGLE PASS","TX","78852"
"462","12","ALVIN TX","Supercenter","400 HIGHWAY 35 BYP N","ALVIN","TX","77511"
"464","12","CORPUS CHRISTI TX","Supercenter","3829 US HIGHWAY 77","CORPUS CHRISTI","TX","78410"
"465","12","FLORESVILLE TX","Supercenter","305 10TH STREET","FLORESVILLE","TX","78114"
"467","12","DENTON TX","Supercenter","1515 S LOOP 288","DENTON","TX","76205"
"468","12","TEXARKANA AR","Supercenter","133 ARKANSAS BLVD","TEXARKANA","AR","71854"
"470","12","CORPUS CHRISTI TX","Supercenter","1821 S PADRE ISLAND DR","CORPUS CHRISTI","TX","78416"
"471","12","LANCASTER, TX","Supercenter","150 N INTERSTATE 35 E","LANCASTER","TX","75146"
"472","12","BROKEN ARROW, OK","Supercenter","2301 W KENOSHA ST","BROKEN ARROW","OK","74012"
"477","12","SODDY-DAISY TN","Supercenter","9334 DAYTON PIKE","SODDY DAISY","TN","37379"
"480","12","PITTSFIELD IL","Wal-Mart","151 SHETLAND DR","PITTSFIELD","IL","62363"
"481","12","MATTOON IL","Supercenter","101 DETTRO DR","MATTOON","IL","61938"
"483","12","PRATTVILLE AL","Supercenter","1903 COBBS FORD RD","PRATTVILLE","AL","36066"
"484","12","LAWRENCE KS","Supercenter","3300 IOWA ST","LAWRENCE","KS","66046"
"486","12","BONNER SPRINGS KS","Supercenter","12801 KANSAS AVE","BONNER SPRINGS","KS","66012"
"489","12","HAMMOND LA","Supercenter","2799 W THOMAS ST","HAMMOND","LA","70401"
"490","12","CORPUS CHRISTI, TX","Supercenter","1250 FLOUR BLUFF DR","CORPUS CHRISTI","TX","78418"
"491","12","PADUCAH KY","Supercenter","5130 HINKLEVILLE RD","PADUCAH","KY","42001"
"492","12","VINCENNES IN","Supercenter","650 KIMMELL RD","VINCENNES","IN","47591"
"494","12","NEWNAN, GA","Supercenter","1025 HIGHWAY 34 E","NEWNAN","GA","30265"
"497","12","SHELBYVILLE, KY","Supercenter","500 TAYLORSVILLE RD","SHELBYVILLE","KY","40065"
"499","12","ENID OK","Supercenter","5505 W OWEN K GARRIOTT RD","ENID","OK","73703"
"500","12","EL PASO TX","Supercenter","4530 WOODROW BEAN","EL PASO","TX","79924"
"501","12","LAUREL MS","Supercenter","1621 HIGHWAY 15 N","LAUREL","MS","39440"
"504","12","GALVESTON TX","Supercenter","6702 SEAWALL BLVD","GALVESTON","TX","77551"
"505","12","DERIDDER, LA","Supercenter","1125 N PINE ST","DERIDDER","LA","70634"
"507","12","LAWRENCEBURG KY","Supercenter","1000 BYPASS N","LAWRENCEBURG","KY","40342"
"512","12","EL PASO TX","Supercenter","10727 GATEWAY BLVD W","EL PASO","TX","79935"
"518","12","CANTON GA","Supercenter","1550 RIVERSTONE PKWY","CANTON","GA","30114"
"520","12","WINDER GA","Supercenter","440 ATLANTA HWY N.W.","WINDER","GA","30680"
"521","12","MOSS BLUFF LA","Supercenter","2500 N MARTIN LUTHER KING HWY","LAKE CHARLES","LA","70601"
"522","12","CROSBY TX","Supercenter","14215 FM 2100 RD","CROSBY","TX","77532"
