"Store Nbr","Mod Footage","Store Name","Store Type","Building Address","Building City","Building State/Prov","Building Postal Code"
"1833","12","FREDERICKSBURG VA","Supercenter","1800 CARL D SILVER PKWY","FREDERICKSBURG","VA","22401"
"1835","12","VESTAL, NY","Supercenter","2405 VESTAL PKWY E","VESTAL","NY","13850"
"1836","12","ADRIAN MI","Supercenter","1601 E US HIGHWAY 223","ADRIAN","MI","49221"
"1837","12","HUMBLE TX","Supercenter","9451 FM 1960 BYPASS","HUMBLE","TX","77338"
"1838","12","LAS VEGAS NV","Wal-Mart","3041 N RAINBOW BLVD","LAS VEGAS","NV","89108"
"1839","12","LORAIN OH","Supercenter","4380 LEAVITT RD","LORAIN","OH","44053"
"1841","12","CHESAPEAKE, VA","Supercenter","1521 SAMS CIR","CHESAPEAKE","VA","23320"
"1842","12","GREENSBORO NC","Supercenter","4424 W WENDOVER AVE","GREENSBORO","NC","27407"
"1844","12","TOMS RIVER NJ","Wal-Mart","950 ROUTE 37 W","TOMS RIVER","NJ","08755"
"1845","12","COOPER CITY (DAVIE), FL","Supercenter","4700 S FLAMINGO RD","COOPER CITY","FL","33330"
"1846","12","DOUGLAS AZ","Supercenter","199 W 5TH ST","DOUGLAS","AZ","85607"
"1847","12","OCALA FL","Supercenter","4980 E SILVER SPRINGS BLVD","OCALA","FL","34470"
"1848","12","GLEN ELLYN, IL","Supercenter","3S100 ROUTE 53","GLEN ELLYN","IL","60137"
"1849","12","WINSTON-SALEM NC","Supercenter","320 E HANES MILL RD","WINSTON SALEM","NC","27105"
"1850","12","CHAMBERSBURG, PA","Supercenter","1730 LINCON WAY E","CHAMBERSBURG","PA","17202"
"1851","12","NORTH LAUDERDALE, FL","Supercenter","7900 W MCNAB RD","NORTH LAUDERDALE","FL","33068"
"1853","12","HEMET CA","Supercenter","1231 S SANDERSON AVE","HEMET","CA","92545"
"1854","12","HATILLO, PR","Supercenter","PLAZA DEL MAR SHOPPING CENTER","HATILLO","PR","00659"
"1855","12","EDEN PRAIRIE, MN","Supercenter","12195 SINGLETREE LN","EDEN PRAIRIE","MN","55344"
"1856","12","BANGOR, ME","Supercenter","900 STILLWATER AVE","BANGOR","ME","04401"
"1857","12","MENTOR (CLEVELAND) OH","Wal-Mart","9303 MENTOR AVE","MENTOR","OH","44060"
"1858","12","MONTEVIDEO, MN","Supercenter","3001 E HIGHWAY 7","MONTEVIDEO","MN","56265"
"1860","12","ELKTON, MD","Supercenter","1000 E PULASKI HWY","ELKTON","MD","21921"
"1861","12","OAK PARK HEIGHTS, MN","Supercenter","5815 NORELL AVE N","OAK PARK HEIGHTS","MN","55082"
"1862","12","RIALTO, CA","Supercenter","1366 S RIVERSIDE AVE","RIALTO","CA","92376"
"1863","12","EASTLAKE, OH","Supercenter","33752 VINE ST","EASTLAKE","OH","44095"
"1864","12","BROOKLYN PARK, MN","Supercenter","8000 LAKELAND AVE N","BROOKLYN PARK","MN","55445"
"1867","12","WESTMINSTER, MD","Wal-Mart","280 WOODWARD RD","WESTMINSTER","MD","21157"
"1868","12","AUBURN, ME","Supercenter","100 MOUNT AUBURN AVE","AUBURN","ME","04210"
"1869","12","MARLTON, NJ","Wal-Mart","150 E ROUTE 70","MARLTON","NJ","08053"
"1872","12","HELENA, MT","Supercenter","2750 PROSPECT AVE","HELENA","MT","59601"
"1873","12","PROVIDENCE/CRANSTON, RI","Supercenter","1776 PLAINFIELD PIKE","CRANSTON","RI","02921"
"1875","12","GLEN BURNIE, MD","Supercenter","407 GEORGE CLAUS BLVD","SEVERN","MD","21144"
"1876","12","HOOD RIVER, OR","Wal-Mart","2700 WASCO ST","HOOD RIVER","OR","97031"
"1878","12","REXBURG, ID","Supercenter","1450 NORTH 2ND EAST","REXBURG","ID","83440"
"1879","12","BARSTOW, CA","Supercenter","301 MONTARA RD","BARSTOW","CA","92311"
"1883","12","MONACA, PA","Supercenter","3942 BRODHEAD ROAD","MONACA","PA","15061"
"1884","12","DICKSON CITY, PA","Supercenter","900 COMMERCE BLVD","DICKSON CITY","PA","18519"
"1885","12","BUTLER, PA","Supercenter","400 BUTLER CMNS","BUTLER","PA","16001"
"1886","12","MECHANICSBURG, PA","Supercenter","6520 CARLISLE PIKE STE 550","MECHANICSBURG","PA","17050"
"1887","12","MONTOURSVILLE, PA","Wal-Mart","1015 N LOYALSOCK AVE","MONTOURSVILLE","PA","17754"
"1888","12","NORTH LOGAN, UT","Supercenter","1550 N MAIN ST","NORTH LOGAN","UT","84341"
"1894","12","MEDINA, OH","Supercenter","4141 PEARL RD","MEDINA","OH","44256"
"1896","12","COLORADO SPRINGS (N) CO","Supercenter","8250 RAZORBACK RD","COLORADO SPRINGS","CO","80920"
"1898","12","ST CHARLES, IL","Supercenter","150 SMITH RD","SAINT CHARLES","IL","60174"
"1899","12","RIVERSIDE (E), CA","Supercenter","6250 VALLEY SPRINGS PKWY","RIVERSIDE","CA","92507"
"1900","12","BURLEY, ID","Supercenter","385 N OVERLAND AVE","BURLEY","ID","83318"
"1901","12","BUTTE, MT","Supercenter","3901 HARRISON AVE","BUTTE","MT","59701"
"1902","12","AMMON, ID","Supercenter","1201 S 25TH E","AMMON","ID","83406"
"1903","12","YUBA CITY, CA","Supercenter","1150 HARTER RD","YUBA CITY","CA","95993"
"1908","12","GREENBAY (E), WI","Supercenter","2292 MAIN ST","GREEN BAY","WI","54311"
"1910","12","CRESCENT CITY, CA","Supercenter","900 E WASHINGTON BLVD","CRESCENT CITY","CA","95531"
"1911","12","AKRON (S), OH","Supercenter","2887 S ARLINGTON RD","AKRON","OH","44312"
"1913","12","BOWLING GREEN, OH","Supercenter","131 W GYPSY LANE RD","BOWLING GREEN","OH","43402"
"1914","12","SAN BERNARDINO, CA","Supercenter","4210 EAST HIGHLAND AVENUE","HIGHLAND","CA","92346"
"1915","12","YUCCA VALLEY, CA","Supercenter","58501 29 PALMS HWY","YUCCA VALLEY","CA","92284"
"1916","12","COCONUT CREEK, FL","Supercenter","5571 W HILLSBORO BLVD","COCONUT CREEK","FL","33073"
"1917","12","SANTEE, CA","Wal-Mart","170 TOWN CENTER PARKWAY","SANTEE","CA","92071"
"1918","12","BELLINGHAM, MA","Wal-Mart","250 HARTFORD AVE","BELLINGHAM","MA","02019"
"1920","12","SALEM (S), OR","Wal-Mart","5250 COMMERCIAL ST SE","SALEM","OR","97306"
"1921","12","MANAHAWKIN, NJ","Wal-Mart","525 ROUTE 72 W","MANAHAWKIN","NJ","08050"
"1922","12","RANCHO CUCAMONGA, CA","Wal-Mart","12549 FOOTHILL BLVD","RANCHO CUCAMONGA","CA","91739"
"1923","12","COMSTOCK PARK, MI","Supercenter","3999 ALPINE AVE NW","COMSTOCK PARK","MI","49321"
"1924","12","PRESQUE ISLE, ME","Supercenter","781 MAIN ST","PRESQUE ISLE","ME","04769"
"1926","12","OSWEGO, NY","Supercenter","341 STATE ROUTE 104","OSWEGO","NY","13126"
"1927","12","MACEDONIA, OH","Supercenter","8160 MACEDONIA COMMONS BLVD","MACEDONIA","OH","44056"
"1928","12","FLINT, MI","Supercenter","4313 CORUNNA RD","FLINT","MI","48532"
"1929","12","CLOQUET, MN","Supercenter","1308 HIGHWAY 33 S","CLOQUET","MN","55720"
"1930","12","PLAISTOW, NH","Wal-Mart","58 PLAISTOW RD","PLAISTOW","NH","03865"
"1931","12","RHINELANDER, WI","Supercenter","2121 LINCOLN ST","RHINELANDER","WI","54501"
"1932","12","ELLSWORTH, ME","Supercenter","17 MYRICK ST","ELLSWORTH","ME","04605"
"1935","12","JOHNSTOWN, PA","Supercenter","150 TOWN CENTRE DR","JOHNSTOWN","PA","15904"
"1936","12","SAULT STE MARIE, MI","Supercenter","3763 I-75 BUSINESS SPUR","SAULT SAINTE MARIE","MI","49783"
"1938","12","BEDFORD PARK, IL","Supercenter","7050 S CICERO AVE","BEDFORD PARK","IL","60638"
"1939","12","BRUNSWICK, ME","Supercenter","15 TIBBETTS DR","BRUNSWICK","ME","04011"
"1940","12","EAST GREENBUSH, NY","Supercenter","279 TROY RD","RENSSELAER","NY","12144"
"1941","12","GLENDORA, CA","Supercenter","1950 AUTO CENTER DRIVE","GLENDORA","CA","91740"
"1942","12","HOLLAND, MI","Supercenter","2629 N PARK DR","HOLLAND","MI","49424"
"1943","12","LINCOLN (N), NE","Supercenter","4700 N 27TH ST","LINCOLN","NE","68521"
"1947","12","OMAK, WA","Supercenter","902 ENGH RD","OMAK","WA","98841"
"1948","12","WEIRTON, WV","Supercenter","400 THREE SPRINGS DR","WEIRTON","WV","26062"
"1949","12","FREDONIA, NY","Supercenter","10401 BENNETT RD","FREDONIA","NY","14063"
"1950","12","AHOSKIE, NC","Supercenter","2150 US 13 SOUTH","AHOSKIE","NC","27910"
"1951","12","ONTARIO, OR","Supercenter","1775 E IDAHO AVE","ONTARIO","OR","97914"
"1952","12","FRIDLEY, MN","Supercenter","8450 UNIVERSITY AVE NE","FRIDLEY","MN","55432"
"1954","12","SANFORD, ME","Supercenter","1930 MAIN ST","SANFORD","ME","04073"
"1955","12","ROCKFORD, IL","Supercenter","3849 NORTHRIDGE DR","ROCKFORD","IL","61114"
"1956","12","BILLINGS MT","Supercenter","2525 KING AVE W","BILLINGS","MT","59102"
"1958","12","RIO GRANDE CITY, TX","Supercenter","4534 E US HIGHWAY 83","RIO GRANDE CITY","TX","78582"
"1959","12","WALLKILL (MIDDLETOWN) NY","Supercenter","470 ROUTE 211 E","MIDDLETOWN","NY","10940"
"1961","12","ALEXANDRIA, KY","Supercenter","6711 ALEXANDRIA PIKE","ALEXANDRIA","KY","41001"
"1962","12","KOKOMO, IN","Supercenter","1920 E MARKLAND AVE","KOKOMO","IN","46901"
"1963","12","TURLOCK, CA","Wal-Mart","2111 FULKERTH RD","TURLOCK","CA","95380"
"1964","12","WESTERLY, RI","Supercenter","258 POST RD","WESTERLY","RI","02891"
"1965","12","COUNCIL BLUFFS, IA","Supercenter","3201 MANAWA CENTRE DR","COUNCIL BLUFFS","IA","51501"
"1966","12","GENESEO NY","Supercenter","4235 VETERAN DR","GENESEO","NY","14454"
"1968","12","ABERDEEN, MD","Supercenter","645 S PHILADELPHIA BLVD","ABERDEEN","MD","21001"
"1969","12","MIDLOTHIAN, VA","Supercenter","900 WALMART WAY","MIDLOTHIAN","VA","23113"
"1970","12","HUDSON, MA","Supercenter","280 WASHINGTON ST","HUDSON","MA","01749"
"1971","12","ROCHESTER, MN","Supercenter","3400 55TH ST NW","ROCHESTER","MN","55901"
"1973","12","JAMESTOWN (LAKEWOOD), NY","Supercenter","350 E FAIRMOUNT AVE","LAKEWOOD","NY","14750"
"1975","12","CLAREMONT, NH","Supercenter","14 BOWEN ST","CLAREMONT","NH","03743"
"1976","12","BIG FLATS (ELMIRA), NY","Supercenter","1400 COUNTY RD 64","HORSEHEADS","NY","14845"
"1977","12","BRICK (OCEAN), NJ","Supercenter","1872 ROUTE 88","BRICK","NJ","08724"
"1978","12","PLYMOUTH, IN","Supercenter","2505 N OAK DR","PLYMOUTH","IN","46563"
"1980","12","PUTNAM, CT","Supercenter","625 SCHOOL ST","PUTNAM","CT","06260"
"1982","12","APPLETON, WI","Supercenter","955 MUTUAL WAY","APPLETON","WI","54913"
"1983","12","CERES (MODESTO SE), CA","Wal-Mart","1670 MITCHELL RD","CERES","CA","95307"
"1984","12","NORTH ADAMS, MA","Supercenter","1415 CURRAN MEMORIAL HWY","NORTH ADAMS","MA","01247"
"1985","12","LAUREL, MD","Supercenter","3549 RUSSETT GRN","LAUREL","MD","20724"
"1986","12","NORWALK, OH","Supercenter","340 WESTWIND DR","NORWALK","OH","44857"
"1988","12","ROSEVILLE, CA","Supercenter","900 PLEASANT GROVE BLVD","ROSEVILLE","CA","95678"
"1989","12","LOMPOC, CA","Supercenter","701 W CENTRAL AVE","LOMPOC","CA","93436"
"1990","12","DELAWARE, OH","Wal-Mart","1760 COLUMBUS PIKE","DELAWARE","OH","43015"
"1991","12","BLOOMINGTON, IN","Supercenter","3313 W STATE RD 45","BLOOMINGTON","IN","47403"
"1992","12","UPLAND, CA","Wal-Mart","1540 W FOOTHILL BLVD","UPLAND","CA","91786"
"1993","12","BROCKPORT, NY","Supercenter","6265 BROCKPORT SPENCERPORT RD","BROCKPORT","NY","14420"
"1994","12","PLATTSBURGH, NY","Supercenter","25 CONSUMER SQ","PLATTSBURGH","NY","12901"
"1995","12","CHUBBUCK, ID","Supercenter","4240 YELLOWSTONE AVE","CHUBBUCK","ID","83202"
"1997","12","LATHAM (COLONIE), NY","Supercenter","800 LOUDON ROAD","LATHAM","NY","12110"
"1998","12","CHICAGO SKOKIE TOUHY & ST","Supercenter","3626 TOUHY AVE","SKOKIE","IL","60076"
"1999","12","ANDOVER MN","Supercenter","1851 BUNKER LAKE BLVD NW","ANDOVER","MN","55304"
"2001","12","FRESNO, CA (SE)","Supercenter","5125 EAST KINGS CANYON RD","FRESNO","CA","93727"
"2002","12","GILROY, CA","Supercenter","7150 CAMINO ARROYO","GILROY","CA","95020"
"2004","12","DUBUQUE, IA","Supercenter","4200 DODGE ST","DUBUQUE","IA","52003"
"2005","12","KANNAPOLIS, NC","Supercenter","2420 SUPERCENTER DR NE","KANNAPOLIS","NC","28083"
"2006","12","CLARKSTON,WA","Supercenter","306 5TH ST","CLARKSTON","WA","99403"
"2007","12","MOSES LAKE, WA","Supercenter","1005 N STRATFORD RD","MOSES LAKE","WA","98837"
"2008","12","GROVE CITY, PA","Wal-Mart","1566 W MAIN STREET EXT","GROVE CITY","PA","16127"
"2009","12","ABINGDON (BEL AIR) MD","Wal-Mart","401 CONSTANT FRIENDSHIP BLVD","ABINGDON","MD","21009"
"2012","12","OXFORD, MA","Supercenter","742 MAIN ST","NORTH OXFORD","MA","01537"
"2013","12","WATERVILLE, ME","Supercenter","80 WATERVILLE COMMONS DR","WATERVILLE","ME","04901"
"2016","12","COLVILLE, WA","Supercenter","810 NORTH HIGHWAY","COLVILLE","WA","99114"
"2019","12","UNIONTOWN, PA","Supercenter","355 WALMART DR","UNIONTOWN","PA","15401"
"2022","12","NORTH WINDHAM, CT","Supercenter","474 BOSTON POST RD","NORTH WINDHAM","CT","06256"
"2024","12","TUNKHANNOCK, PA","Supercenter","808 HUNTER HWY","TUNKHANNOCK","PA","18657"
"2025","12","TRACY, CA","Supercenter","3010 W GRANT LINE RD","TRACY","CA","95304"
"2026","12","PONCE-PR","Supercenter","INTERSECTION PR-2 AND PR-52","PONCE","PR","00728"
"2027","12","LAVALE, MD","Supercenter","12500 COUNTRY CLUB MALL RD","LAVALE","MD","21502"
"2028","12","RIVERSIDE (S), CA","Supercenter","5200 VAN BUREN BLVD","RIVERSIDE","CA","92503"
"2031","12","UNION CITY, CA","Wal-Mart","30600 DYER ST","UNION CITY","CA","94587"
"2032","12","OXNARD, CA","Supercenter","2001 N ROSE AVE","OXNARD","CA","93036"
"2033","12","MANDAN BISMARCK ND","Supercenter","1000 OLD RED TRL NW","MANDAN","ND","58554"
"2035","12","GREENVILLE, OH","Supercenter","1501 WAGNER AVENUE","GREENVILLE","OH","45331"
"2036","12","SO CHARLESTON, WV","Supercenter","2700 MOUNTAINEER BLVD","SOUTH CHARLESTON","WV","25309"
"2037","12","ABERDEEN, WA","Supercenter","909 E WISHKAH ST","ABERDEEN","WA","98520"
"2038","12","STERLIING PARK, VA","Supercenter","45415 DULLES CROSSING PLZ","STERLING","VA","20166"
"2039","12","MERCED, CA","Wal-Mart","3055 LOUGHBOROUGH DR","MERCED","CA","95348"
"2040","12","BURLINGTON, NJ","Supercenter","2106 MOUNT HOLLY RD","BURLINGTON","NJ","08016"
"2043","12","WARSAW, NY","Wal-Mart","2348 ROUTE #19","WARSAW","NY","14569"
"2044","12","CHICO, CA","Wal-Mart","2044 FOREST AVE","CHICO","CA","95928"
"2045","12","WHITE MARSH, MD","Supercenter","8118 PERRY HILLS CT","NOTTINGHAM","MD","21236"
"2046","12","AUGUSTA, ME","Supercenter","201 CIVIC CENTER DR","AUGUSTA","ME","04330"
"2048","12","FAIRFIELD, CA","Supercenter","2701 N TEXAS ST","FAIRFIELD","CA","94533"
"2049","12","ALTOONA, PA","Supercenter","2600 PLANK ROAD COMMONS","ALTOONA","PA","16601"
"2050","12","HENDERSON, NV","Supercenter","300 E LAKE MEAD PKWY","HENDERSON","NV","89015"
"2051","12","KINGMAN, AZ","Supercenter","3396 STOCKTON HILL RD","KINGMAN","AZ","86409"
"2055","12","CONCORD, NH","Supercenter","344 LOUDON RD","CONCORD","NH","03301"
"2056","12","SARATOGA SPRINGS, NY","Supercenter","16 OLD GICK RD","SARATOGA SPRINGS","NY","12866"
"2057","12","RINDGE, NH","Wal-Mart","750 US HWY 202","RINDGE","NH","03461"
"2058","12","RALEIGH, NC","Supercenter","1725 NEW HOPE CHURCH RD","RALEIGH","NC","27609"
"2059","12","GREENSBURG, PA","Supercenter","2200 GREENGATE CENTRE CIR","GREENSBURG","PA","15601"
"2060","12","LEXINGTON, (SE) KY","Wal-Mart","3180 RICHMOND RD","LEXINGTON","KY","40509"
"2061","12","PLAINWELL, MI","Supercenter","412 OAKS XING","PLAINWELL","MI","49080"
"2062","12","BENTON HARBOR, MI","Supercenter","1400 MALL DR","BENTON HARBOR","MI","49022"
"2063","12","AUSTINTOWN, OH","Supercenter","6001 MAHONING AVE","AUSTINTOWN","OH","44515"
"2065","12","KNOXVILLE (W), TN","Supercenter","8445 WALBROOK DR","KNOXVILLE","TN","37923"
"2066","12","HOUSTON, TX","Supercenter","2727 DUNVALE RD","HOUSTON","TX","77063"
"2067","12","MAYAGUEZ, PR","Wal-Mart","975 AVE HOSTOS STE 2100","MAYAGUEZ","PR","00680"
"2068","12","FAIRLESS HILLS, PA","Supercenter","180 LEVITTOWN CTR","LEVITTOWN","PA","19055"
"2069","12","SOUTH MEDFORD, OR","Supercenter","1360 CENTER DR","MEDFORD","OR","97501"
"2070","12","ANCHORAGE,AK (N)","Supercenter","3101 A ST","ANCHORAGE","AK","99503"
"2073","12","BROOKLYN, OH","Supercenter","10000 BROOKPARK RD","CLEVELAND","OH","44130"
"2074","12","WASILLA, AK","Supercenter","1350 S SEWARD MERIDIAN PKWY","WASILLA","AK","99654"
"2077","12","LAKE ELSINORE, CA","Wal-Mart","31700 GRAPE ST","LAKE ELSINORE","CA","92532"
"2078","12","MARIETTA, OH","Supercenter","804 PIKE ST","MARIETTA","OH","45750"
"2080","12","BATTLE CREEK, MI","Supercenter","6020 B DR N","BATTLE CREEK","MI","49014"
"2083","12","MORGANTOWN, WV","Supercenter","75 RETAIL CIRCLE","MORGANTOWN","WV","26508"
"2084","12","BOZEMAN, MT","Supercenter","1500 N 7TH AVE","BOZEMAN","MT","59715"
"2086","12","PLANO, TX","Supercenter","1700 DALLAS PKWY","PLANO","TX","75093"
"2087","12","VADNAIS HTS, MN","Supercenter","850 EAST COUNTY RD E","VADNAIS HEIGHTS","MN","55127"
"2088","12","BATAVIA, NY","Supercenter","4133 VETERANS MEMORIAL DR","BATAVIA","NY","14020"
"2089","12","BRISTOL, VA","Supercenter","13245 LEE HWY","BRISTOL","VA","24202"
"2090","12","FRANKLIN, NJ","Wal-Mart","230 STATE HIGHWAY","FRANKLIN","NJ","07416"
"2091","12","MIAMI (AIRPORT), FL","Supercenter","8651 NW 13TH TER","DORAL","FL","33126"
"2092","12","OGDENSBURG, NY","Wal-Mart","3000 FORD STREET EXT","OGDENSBURG","NY","13669"
"2093","12","UTICA, NY","Supercenter","710 HORATIO ST","UTICA","NY","13502"
"2094","12","VISTA, CA","Supercenter","1800 UNIVERSITY DR","VISTA","CA","92083"
"2095","12","WAREHAM, MA","Supercenter","15 TOBEY RD","WAREHAM","MA","02571"
"2097","12","HUDSON, NY","Supercenter","460 FAIRVIEW AVE","HUDSON","NY","12534"
"2098","12","COLUMBUS, OH (NE)","Supercenter","3900 MORSE RD","COLUMBUS","OH","43219"
"2099","12","PASO ROBLES, CA EF","Wal-Mart","180 NIBLICK RD","PASO ROBLES","CA","93446"
"2100","12","CHEBOYGAN, MI","Supercenter","1150 S MAIN ST","CHEBOYGAN","MI","49721"
"2102","12","LUDINGTON, MI","Supercenter","4854 W US HIGHWAY 10","LUDINGTON","MI","49431"
"2103","12","WALPOLE, MA","Supercenter","550 PROVIDENCE HWY","WALPOLE","MA","02081"
"2104","12","NEWBURGH, NY","Supercenter","1201 ROUTE 300","NEWBURGH","NY","12550"
"2105","12","FARMERS BRANCH, TX","Supercenter","4122 LBJ FREEWAY","DALLAS","TX","75244"
"2106","12","RENO (N), NV","Supercenter","2425 E 2ND ST","RENO","NV","89502"
"2107","12","LOCKPORT, NY","Supercenter","5735 SOUTH TRANSIT ROAD","LOCKPORT","NY","14094"
"2108","12","MAYS LANDING, NJ","Supercenter","4620 BLACK HORSE PIKE","MAYS LANDING","NJ","08330"
"2110","12","PARAMOUNT, CA","Supercenter","14501 LAKEWOOD BLVD","PARAMOUNT","CA","90723"
"2112","12","SCOTTSDALE, AZ","Supercenter","4915 N PIMA RD","SCOTTSDALE","AZ","85251"
"2115","12","NEW PHILADELPHIA, OH","Supercenter","231 BLUEBELL DR SW","NEW PHILADELPHIA","OH","44663"
"2116","12","QUEENSBURY, NY","Supercenter","891 ROUTE #9","QUEENSBURY","NY","12804"
"2117","12","LOS BANOS (MERCED), CA EF","Supercenter","1575 WEST PACHECO BLVD","LOS BANOS","CA","93635"
"2118","12","LUNENBURG, MA","Wal-Mart","301 MASSACHUSETTS AVE","LUNENBURG","MA","01462"
"2119","12","MILPITAS, CA","Supercenter","301 RANCH DR","MILPITAS","CA","95035"
"2121","12","SHELTON, WA","Supercenter","100 E WALLACE KNEELAND BLVD","SHELTON","WA","98584"
"2122","12","AVON, MA","Supercenter","30 MEMORIAL DR","AVON","MA","02322"
"2124","12","BEAVER CREEK, OH","Supercenter","3360 PENTAGON BLVD","BEAVERCREEK","OH","45431"
"2126","12","MILILANI, HI","Wal-Mart","95-550 LANIKUHANA AVE","MILILANI","HI","96789"
"2127","12","WAUSAU, WI","Supercenter","4300 RIB MOUNTAIN DR","WAUSAU","WI","54401"
"2129","12","CLEARFIELD, PA","Supercenter","100 SUPERCENTER DR","CLEARFIELD","PA","16830"
"2130","12","PORTSMOUTH, NH","Supercenter","2460 LAFAYETTE RD","PORTSMOUTH","NH","03801"
"2131","12","TOPEKA, KS","Supercenter","1301 SW 37TH ST","TOPEKA","KS","66611"
"2132","12","BATON ROUGE (S), LA","Supercenter","10606 N MALL DR","BATON ROUGE","LA","70809"
"2133","12","AUSTIN (MID W), TX","Supercenter","5017 W HIGHWAY 290","AUSTIN","TX","78735"
"2134","12","CHARLOTTE (N),NC","Supercenter","7735 N TRYON ST","CHARLOTTE","NC","28262"
"2135","12","COBLESKILL, NY","Supercenter","139 MERCHANT PL","COBLESKILL","NY","12043"
"2136","12","CULPEPER, VA","Supercenter","801 JAMES MADISON HWY","CULPEPER","VA","22701"
"2137","12","DURHAM, NC","Supercenter","5450 NEW HOPE COMMONS DR","DURHAM","NC","27707"
"2138","12","LEBANON, NH","Wal-Mart","285 PLAINFIELD RD","WEST LEBANON","NH","03784"
"2139","12","LYNN, MA","Wal-Mart","780 LYNNWAY","LYNN","MA","01905"
"2140","12","NORTH CONWAY, NH","Supercenter","46 N SOUTH RD","NORTH CONWAY","NH","03860"
"2142","12","SALEM NH","Supercenter","326 N BROADWAY","SALEM","NH","03079"
"2145","12","WHITEHALL, PA (ALLENTOWN)","Supercenter","2601 MACARTHUR RD RELOCATION","WHITEHALL","PA","18052"
"2146","12","AMSTERDAM, NY","Supercenter","101 SANFORD FARMS SHOPPING CTR","AMSTERDAM","NY","12010"
"2149","12","MT VERNON, OH","Supercenter","1575 COSHOCTON AVE","MOUNT VERNON","OH","43050"
"2151","12","SUNRISE, FL","Supercenter","12555 W SUNRISE BLVD","SUNRISE","FL","33323"
"2152","12","ALBANY, NY","Supercenter","141 WASHINGTON AVE EXTENSION","ALBANY","NY","12205"
"2153","12","BIDDEFORD, ME","Supercenter","50 BOULDER WAY","BIDDEFORD","ME","04005"
"2154","12","DULUTH, (NW), GA","Supercenter","2635 PLEASANT HILL RD","DULUTH","GA","30096"
"2155","12","GARDNER, MA","Supercenter","677 TIMPANY BLVD","GARDNER","MA","01440"
"2156","12","MIDDLE ISLAND (LI), NY","Wal-Mart","750 MIDDLE COUNTRY RD","MIDDLE ISLAND","NY","11953"
"2157","12","NORTH DARTMOUTH, MA","Supercenter","506 STATE RD","NORTH DARTMOUTH","MA","02747"
"2158","12","NORTHBOROUGH, MA","Supercenter","200 OTIS ST","NORTHBOROUGH","MA","01532"
"2159","12","ALLEGANY, NY","Supercenter","1869 PLAZA DR","OLEAN","NY","14760"
"2161","12","PLEASANTON, CA","Wal-Mart","4501 ROSEWOOD DR","PLEASANTON","CA","94588"
"2163","12","SHELTON, CT","Wal-Mart","465 BRIDGEPORT AVE","SHELTON","CT","06484"
"2166","12","EAST SYRACUSE, NY","Supercenter","6438 BASILE ROWE","EAST SYRACUSE","NY","13057"
"2167","12","WEST WHITELAND, PA","Wal-Mart","270 INDIAN RUN ST","EXTON","PA","19341"
"2169","12","LEHIGHTON, PA","Supercenter","1731 BLAKESLEE BOULEVARD DR E","LEHIGHTON","PA","18235"
"2170","12","NORWICH, CT","Wal-Mart","220 SALEM TPKE","NORWICH","CT","06360"
"2171","12","PRINCETON, NJ","Wal-Mart","101 NASSAU PARK BLVD","PRINCETON","NJ","08540"
"2174","12","WESTFIELD, MA","Supercenter","141 SPRINGFIELD RD","WESTFIELD","MA","01085"
"2176","12","JUPITER, FL","Supercenter","2144 W INDIANTOWN RD","JUPITER","FL","33458"
"2177","12","SAN DIEGO, CA","Wal-Mart","3382 MURPHY CANYON ROAD","SAN DIEGO","CA","92123"
"2178","12","CALAIS, ME","Supercenter","379 SOUTH ST","CALAIS","ME","04619"
"2180","12","DANVERS, MA","Wal-Mart","55 BROOKSBY VILLAGE WAY","DANVERS","MA","01923"
"2181","12","INDIO N CA","Supercenter","82-491 AVENUE 42","INDIO","CA","92203"
"2185","12","SELINSGROVE, PA","Supercenter","980 N SUSQUEHANNA TRL","SELINSGROVE","PA","17870"
"2188","12","EAGLE RIVER, AK","Supercenter","18600 EAGLE RIVER RD","EAGLE RIVER","AK","99577"
"2189","12","RENO (S), NV","Supercenter","4855 KIETZKE LN","RENO","NV","89509"
"2190","12","WOODLAND, CA","Wal-Mart","1720 E MAIN ST","WOODLAND","CA","95776"
"2191","12","BRYAN, OH","Supercenter","1215 S MAIN ST","BRYAN","OH","43506"
"2192","12","HOUGHTON, MI","Supercenter","995 RAZORBACK DR","HOUGHTON","MI","49931"
"2193","12","STEUBENVILLE, OH","Supercenter","100 MALL DR","STEUBENVILLE","OH","43952"
"2194","12","ALEXANDRIA, VA","Wal-Mart","5885 KINGSTOWNE BLVD","ALEXANDRIA","VA","22315"
"2195","12","HOWELL, NJ","Supercenter","4900 U.S. HWY #9","HOWELL","NJ","07731"
"2196","12","PORT ANGELES, WA","Supercenter","3411 E KOLONELS WAY","PORT ANGELES","WA","98362"
"2197","12","WARREN, OH","Supercenter","2016 MILLENNIUM BLVD","CORTLAND","OH","44410"
"2198","12","BLOOMINGTON, MN","Supercenter","700 AMERICAN BLVD E","BLOOMINGTON","MN","55420"
"2199","12","ST CLAIRSVILLE, OH","Supercenter","50739 VALLEY PLAZA DR","SAINT CLAIRSVILLE","OH","43950"
"2200","12","GROTON, CT","Wal-Mart","150 GOLD STAR HWY","GROTON","CT","06340"
"2202","12","NORTH WINDHAM, ME","Supercenter","30 LANDING RD","WINDHAM","ME","04062"
"2204","12","FOREST PARK, IL","Supercenter","1300 DES PLAINES AVE","FOREST PARK","IL","60130"
